CLUSTER,PLOT,PLANT,PLOT_ID,PLANT_ID,CROP_TYPE,CROP_VARIETY,CROP_STAGE,LAT,LON,FRESH_WEIGHT,DRY_WEIGHT,LEAF_AREA,W/L,SLA,LDMC,LWC,EWT,CHL_VALUE,LAI,A470,A649,A664,Ca,Cb,Total_Chl,Carotenoid
C1,A,P1,C1A,C1AP1,Corn,NK6410,,18.05559,120.55417,33.116,10.634,588.4511111,0.133601205,42.28731192,0.321113661,2.114162121,0.049995188,99.2,1.35,0.35,0.16,0.29,3.044,2.034,5.078,1.313223636
C1,A,P2,C1A,C1AP2,Corn,NK6410,,,,43.678,13.492,463.2562,0.125043812,25.86202935,0.308896928,2.237325823,0.086510064,123.8,1.33,0.24,0.12,0.2,2.0492,1.6676,3.7168,0.765857596
C1,A,P3,C1A,C1AP3,Corn,NK6410,,,,21.898,8.297,481.2652889,0.121770944,43.7100458,0.37889305,1.639267205,0.037503214,134.4,2.42,0.19,0.09,0.18,1.9377,1.0071,2.9448,0.514250247
C1,B,P1,C1B,C1BP1,Corn,NK6410,,18.05577,120.55391,51.598,15.015,642.7278,0.130422602,32.21003663,0.290999651,2.436430236,0.075641958,158.6,4.56,0.25,0.14,0.21,2.079,2.135,4.214,0.816117323
C1,B,P2,C1B,C1BP2,Corn,NK6410,,,,24.465,8.752,677.21,0.129552789,58.30841808,0.357735541,1.79536106,0.030790769,151.2,3.62,0.16,0.03,0.08,0.9131,0.1733,1.0864,0.371169934
C1,B,P3,C1B,C1BP3,Corn,NK6410,,,,27.842,9.536,530.7027,0.122947742,42.04747798,0.34250413,1.919672819,0.045654886,153.8,5.47,0.16,0.08,0.16,1.7224,0.8952,2.6176,0.364507515
C2,A,P1,C2A,C2AP1,Corn,PIONEER,,18.0501,120.54316,16.052,5.826,343.2966667,0.106033978,44.94650704,0.362945427,1.755235153,0.039051648,138.8,2.47,0.23,0.06,0.14,1.559,0.509,2.068,0.71938803
C2,A,P2,C2A,C2AP2,Corn,PIONEER,,,,18.509,6.037,349.9544444,0.115827774,43.7878375,0.326165649,2.065926785,0.047180379,142.6,1.46,0.17,0.08,0.12,1.188,1.22,2.408,0.419411919
C2,A,P3,C2A,C2AP3,Corn,PIONEER,,,,14.585,5.461,413.5555556,0.107469103,57.23514924,0.37442578,1.670756272,0.029191088,151.8,1.52,0.27,0.13,0.24,2.5317,1.6171,4.1488,0.913400652
C2,B,P1,C2B,C2BP1,Corn,PIONEER,,18.05028,120.54327,16.687,5.814,490.3788444,0.104406615,63.50138889,0.348414934,1.870141039,0.029450396,143,1.65,0.14,0.08,0.12,1.188,1.22,2.408,0.267896768
C2,B,P2,C2B,C2BP2,Corn,PIONEER,,,,18.459,6.013,441.6698222,0.0924108,55.21122984,0.325748957,2.069848661,0.037489632,164,2.84,0.41,0.23,0.4,4.1503,3.0609,7.2112,1.60714652
C2,B,P3,C2B,C2BP3,Corn,PIONEER,,,,30.441,10.399,582.6401667,0.112914153,42.36956679,0.341611642,1.927300702,0.045487855,161,2.72,0.4,0.2,0.4,4.306,2.238,6.544,1.555359697
C3,A,P1,C3A,C3AP1,Corn,NK6130,,18.04974,120.54239,31.18,12.07,644.1904444,0.118705882,40.11599006,0.38710712,1.583264292,0.039467162,88.4,1.93,0.24,0.13,0.22,2.2645,1.7795,4.044,0.764085177
C3,A,P2,C3A,C3AP2,Corn,NK6130,,,,34.157,11.298,647.4166667,0.111597374,43.1236834,0.330766754,2.023278456,0.046918034,88.6,1.65,0.12,0.06,0.11,1.1582,0.7526,1.9108,0.16713199
C3,A,P3,C3A,C3AP3,Corn,NK6130,,,,31.047,10.965,643.9995111,0.104418506,44.10545372,0.35317422,1.831463748,0.041524655,95,2.2,0.55,0.33,0.55,5.6353,4.5859,10.2212,2.301992227
C3,B,P1,C3B,C3BP1,Corn,NK6130,,18.04967,120.54256,50.648,15.301,446.8266,0.126638608,22.20614829,0.302104723,2.31011045,0.104030218,97,2.38,0.32,0.19,0.37,3.9571,2.2073,6.1644,1.154191551
C3,B,P2,C3B,C3BP2,Corn,NK6130,,,,54.247,17.554,513.4111111,0.114484818,22.0586476,0.323593931,2.090292811,0.094760697,114.2,3.51,0.21,0.09,0.13,1.2697,1.4131,2.6828,0.62075954
C3,B,P3,C3B,C3BP3,Corn,NK6130,,,,45.342,14.622,768.9333333,0.123206751,39.56230338,0.322482467,2.100943783,0.053104688,127,2.93,0.29,0.19,0.39,4.2243,2.0449,6.2692,1.000476722
C3,C,P1,C3C,C3CP1,Corn,NK6130,,18.04951,120.54244,18.81,7.287,400.8933333,0.126927639,42.05919789,0.387400319,1.581309181,0.037597226,133,2.27,0.52,0.34,0.53,5.3162,5.0226,10.3388,2.15310401
C3,C,P2,C3C,C3CP2,Corn,NK6130,,,,19.679,7.405,359.6019,0.131133036,37.22706617,0.376289446,1.657528697,0.044524827,118.8,1.94,0.31,0.14,0.3,3.2814,1.4042,4.6856,1.109249081
C3,C,P3,C3C,C3CP3,Corn,NK6130,,,,29.182,10.345,544.8416889,0.126095335,39.66137748,0.354499349,1.820879652,0.045910651,111,1.29,0.13,0.07,0.11,1.1063,1.0269,2.1332,0.218064298
C4,A,P1,C4A,C4AP1,Corn,NK6410,,18.04877,120.54283,17.616,6.691,375.4466667,0.117196702,42.39357719,0.379825159,1.632790315,0.03851504,118.2,1.76,0.16,0.08,0.16,1.7224,0.8952,2.6176,0.364507515
C4,A,P2,C4A,C4AP2,Corn,NK6410,,,,43.653,12.942,730.8009333,0.122620898,42.47919178,0.296474469,2.37297172,0.055861979,74.6,2.86,0.14,0.02,0.04,0.4306,0.2238,0.6544,0.274131929
C4,A,P3,C4A,C4AP3,Corn,NK6410,,,,17.469,6.539,419.6777778,0.121246459,48.57891115,0.374320224,1.671509405,0.034408128,61.2,3.85,0.16,0.03,0.08,0.9131,0.1733,1.0864,0.371169934
C4,B,P1,C4B,C4BP1,Corn,NK6130,,18.04881,120.54262,28.924,9.954,614.9759778,0.12719559,46.53823337,0.344143272,1.905766526,0.040950556,116.6,3.84,0.24,0.11,0.2,2.1011,1.3933,3.4944,0.765430338
C4,B,P2,C4B,C4BP2,Corn,NK6130,,,,22.359,8.737,602.1755556,0.100171969,51.95123612,0.390759873,1.559116402,0.030011151,83.2,3.23,0.21,0.02,0.05,0.5642,0.1426,0.7068,0.626567444
C4,B,P3,C4B,C4BP3,Corn,NK6130,,,,23.478,9.186,417.1338,0.078491084,34.31298988,0.391259903,1.555845852,0.045342765,88.6,3.67,0.12,0.04,0.08,0.8612,0.4476,1.3088,0.16957699
