CODE,Length,Width,Plant Spacing,Row Spacing,Type,Moisture,Temperature,Plant Height,Cap Cover,LAI,DIFN,MTA,SEM,SMP,SEL,Chloropyll  Value (mg/m2)
P1S1-1,10,10,3.96,3.25,Clay,0.063,32.4,2.07,45°,1.35,0.359,44.9,12.7,4,0.439,99.2
P1S1-2,10,10,3.96,3.25,Clay,0.121,35,2.17,45°,1.33,0.367,47.9,6.56,4,0.122,123.8
P1S1-3,10,10,3.96,3.25,Clay,0.225,35.8,2.09,45°,2.42,0.158,47.6,2.56,4,0.236,134.4
P1S2-1,10,10,2.5,3.03,Clay,0.106,37.1,2.32,45°,4.56,0.029,43,3.92,4,1.14,158.6
P1S2-2,10,10,2.5,3.03,Clay,0.099,36.4,2.55,45°,3.62,0.073,58.8,8.01,4,0.49,151.2
P1S2-3,10,10,2.5,3.03,Clay,0.114,36.2,2.3,45°,5.47,0.0137,26.2,10.9,4,0.588,153.8
P2S1-1,10,10,3.42,3.21,Clay,0.213,33.1,2.02,45°,2.47,0.145,45.9,3.99,4,0.366,138.8
P2S1-2,10,10,3.42,3.21,Clay,0.171,33.5,1.84,45°,1.46,0.319,0,5.48,4,0.341,142.6
P2S1-3,10,10,3.42,3.21,Clay,0.135,33.5,1.89,45°,1.52,0.326,50.8,3.54,4,0.165,151.8
P2S2-1,10,10,3,3.12,Clay,0.399,33.5,1.94,45°,1.65,0.294,35.7,3.09,4,0.131,143
P2S2-2,10,10,3,3.12,Clay,0.366,33.3,2.12,45°,2.84,0.145,60.4,5.47,4,0.686,164
P2S2-3,10,10,3,3.12,Clay,0.261,32.7,2.01,45°,2.72,0.119,44.8,1.59,4,0.353,161
P3S1-1,10,10,3.07,3.55,Clay,0.13,30.5,2.12,45°,1.93,0.272,38.1,4.26,4,0.326,88.4
P3S1-2,10,10,3.07,3.55,Clay,0.187,30.6,2.12,90°,1.65,0.326,68.9,4.57,4,0.131,88.6
P3S1-3,10,10,3.07,3.55,Clay,0.277,31.5,2.09,90°,2.2,0.201,61.6,3.77,4,0.239,95
